"date","producerShare","producerShareSmoothed"
2020-03-01,47.8552832,48.0814093066431
2020-04-01,45.0117803030303,48.1993935309712
2020-05-01,47.7486227642276,48.3173777552993
2020-06-01,45.7587954887218,48.5255119116069
2020-07-01,49.369896124031,48.7336460679145
2020-08-01,48.4423714285714,48.8833850973281
2020-09-01,50.9493149606299,49.0331241267417
2020-10-01,51.2103125,49.1514160093932
2020-11-01,50.264980952381,49.2697078920446
2020-12-01,52.9725566666667,49.4650122366349
2021-01-01,48.9634328358209,49.6603165812253
2021-02-01,50.1733275590551,49.9756733873243
2021-03-01,46.9672313432836,50.2910301934233
2021-04-01,47.1032165413534,50.6269247413161
2021-05-01,48.90271015625,50.9628192892089
2021-06-01,48.3442029850746,51.2571870482643
2021-07-01,52.469876744186,51.5515548073197
2021-08-01,53.96548203125,51.8726394355157
